artist,credit_line,display_dimensions,geometry,medium,title,location
"Brown, Arthur Page",,,"-122.4818391,37.7705254",Marble and cast concrete,Portals of the Past,
"Brown, Joan",Purchased by the San Francisco Art Commission for the Performing Arts Garage,"144"" H","-122.421525,37.7780273",Bronze,The Dancing Musicians,
"Brown, Joan",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90""H X 72"" W","-122.389979,37.615223",Enamel on canvas,The Journey #2,
"Bufano, Beniamino",Located in Valencia Public Housing Project,,"-122.4233043,37.7665965",Cast granite,Bear and Cubs,
"Bufano, Beniamino",Purchased by the San Francisco Art Commission for the St. Mary's Plaza.,,"-122.4051364,37.7921253",Stainless steel and rose-red granite,Sun Yat-Sen,
"Bufano, Beniamino",Located in Valencia Public Housing Project,18 in.,"-122.4233043,37.7665965",Marble,Rabbit,
"Bufano, Beniamino",WPA Project,18 in. x 30 in.,"-122.4233043,37.7665965",Granite,Mouse,
"Bufano, Beniamino",WPA Project,,"-122.4233043,37.7665965",Marble,Small Fish--Big Fish,
"Bufano, Beniamino",Gift to the City and County of San Francisco,100 in. x 69 in.,"-122.451725,37.7277894",steel,St. Francis of the Guns,
"Bufano, Beniamino",,,"-122.4319047,37.7640543",Granite (?),Torso,
"Bufano, Beniamino",,456 in. x 30 in.,"-122.4802906,37.7146289",Granite,Peace,
"Bufano, Beniamino",,,"-122.423905,37.80637600000001",Black granite,Frog,
"Bufano, Beniamino",Located in Valencia Public Housing Project,"72"" (L) x 24"" (W)","-122.4233043,37.7665965",Granite,Two Sea Lions,
"Bufano, Beniamino",WPA,72 in. x 96 in.,"-122.3778015,37.8252754",Granite,Horse and Rider (St. Francis on Horseback),
"Bufano, Beniamino",Purchased by the San Francisco Art Commission for Christmas Tree Point.,"2' H; base 1' X 3' X 22""","-122.4792744,37.7238942",Red marble,Head of St.Francis,
"Bufano, Beniamino",WPA,"60"" (L) x  36"" (W)","-122.4233043,37.7665965",Granite,Cat,
"Bufano, Beniamino",,72 in. x 36 in.,"-122.423905,37.80637600000001",Brown Granite,Seal,
"Bufano, Beniamino",Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"-122.4044431,37.7557795","Stone, tile and concrete",Madonna,
"Bufano, Beniamino",WPA,"36"" (L) x 36"" (H)","-122.4233043,37.7665965",Granite,Butterfly,
"Bufano, Beniamino",,30 in.,"-122.4233043,37.7665965",Marble,Cat and Mouse,
