artist,credit_line,display_dimensions,geometry,medium,title,location
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned for the MLK Pool,,"-122.4194155,37.7749295",Glazed ceramic tiles,Wade in Water,
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissione by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Art enrichment for the Mission Police Station,,"-122.4194155,37.7749295",Painted Aluminum,Hope Flight,
"Johanson, Patricia",Commissioned by the Public Art Program for Sunnydale Pump Station,,"-122.4194155,37.7749295",Concrete and air blown mortar,Endangered Garden,
"Johnson, Amana",,52 in. x 72 in.,"-122.4194155,37.7749295","Basalt, basaltic clay, and concrete with glass, travertine and marble tile",Time to Dream,
"Jurs, Shelley",Purchased by the San Francisco Art Commission for the Richmond Police Station.,,"-122.464215,37.7798186",Glass,Good Luck Piece,
"Kadish, Ruben",Commissioned by the San Francisco Art Commission for Larkin Hall in the Civic Auditorium.,,"-122.4194155,37.7749295",Mural,Untitled,
"Kahn, Ned",Commissione San Francisco International Airport bythe San Francisco Arts Commission Public Art Progr,,"-122.389979,37.615223","200,000 stainless steel discs, mounted",Wind Portal,
"Kahn, Ned",Commissioned by the San Francisco Art Commission for the San Bruno Jail.,,"-122.4563772,37.62869",Glass,The Greenhouse Project,"San Bruno : Skyline Blvd
"
"Kang, Ik-Joong",Commissioned by the San Francisco Arts Commission for San Francisco International Airport; Collection of the City and County of San Francisco.,"60' L X 10' W overall; each square 3"" X 3""","-122.389979,37.615223","Oil, acrylic, wood, ceramic, cast glass, found objects.",Gateway,
"Katano, Marc",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.389979,37.615223",Oil,Greeting a Totem,
"Katano, Marc",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"108"" H X 54"" W","-122.389979,37.615223",Oil on canvas,Torso,
"Kelly, Lee",Commission by the San Francisco Art Commission for Candlestick Park,17' H X 76' L ; 8 1/2' H at gate openings,"-122.3851332,37.7129103",Cor-ten Steel,Gate F Sculpture,
"Kennedy, Deborah",,,"-122.4479623,37.7336841",Painted stainless steel,Solar Sight,
"Kim, Cheonae",,,"-122.4556651,37.7478586",Glazed ceramic tile,somewhere,
"Kirkland, Larry",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"264"" H X 276"" W X 756"" D","-122.389979,37.615223","Stainless steel cable, painted aluminum tubing, sheeting and screening",Flight Patterns,
"Kitundu, Walter",Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","Wood, ink and plastic",San Francisco Bay Area Bird Encounters,
"Klotz, Werner",Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,30 in. x 30 in. x 30 in.,"-122.389979,37.615223",Mixed media,Anemone,
"Kogure, Kimiko",Commissioned for Stern Grove Renovations,,"-122.448703,37.739277",ceramic tile,Miraloma Fieldhouse Bathrooms,"Miraloma Field House : Omar
"
"Kogure, Kimiko",Commissioned for Stern Grove Historic Renovation,,"-122.4194155,37.7749295",stained glass,Stern Grove Trocadero Clubhouse,
"Koloski, Vince",,60 in. x 480 in.,"-122.393081,37.775209",Mixed media,A Library Book,
"Kopecek, Vera",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"103"" H X 156"" W","-122.389979,37.615223",Wool tapestry with cotton twine,Flight Thrills,
"Kozloff, Joyce",Purchased by the San Francisco Arts Commission for the San Francisco International Airport; Collection of the City and County of San Francisco,10' H X 51' W overall (3 panels),"-122.389979,37.615223",Ceramic tile and glass.,"Bay Area Victorian, Bay Area Deco, Bay Area Funk",
"Kricken, John and Rolph",Commissioned for the Roald Amundsen Monument,,"-122.5108707,37.7704354",bronze,Amundsen Historical Plaque,
"Kunishima, Seiji",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,12' H X 4 1/4' W X 3 1/2' D,"-122.389979,37.615223",Nose Stone,Stacking Stones,
"Labaudt, Lucien",WPA Mural Project for the Beach Chalet at Golden Gate Park,,"-122.510284,37.767879",Fresco,People and Places of San Francisco,
"Labaudt, Lucien",WPA Mural Project for Washington High School,66 in. x 324 in.,"-122.4194155,37.7749295",Fresco panel,Advancement of Learning through the Printing Press,
"Labaudt, Lucien",Commissioned for Coit Tower,72 in. x 384 in.,"-122.4058194,37.8023686",Fresco,Powell Street,
"Lands, Christine Marie",,,"-122.4194155,37.7749295",Acrylic,Before the Revolution,
"Lane, Christopher",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"71"" H X 79"" W","-122.389979,37.615223",Oil ,Night Passage,
"Langdon, Gordon",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,California Agricultural Industry,
"Leong, James",Commissioned by the San Francisco Housing Authority for the Chinese Health Center,,"-122.4194155,37.7749295",egg tempera,100 Years of Progress of Chinese in America,
"Leong, Lampo",Commissioned for art enrichment by the Public Art Program,26' diameter,"-122.4194155,37.7749295","black, yellow and red granite",Tectonic Melange,
"Lerner, Leslie",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"52 1/4"" H X 63 3/8"" W Framed","-122.389979,37.615223",Acrylic and polymer on canvas,The Smile of Reason,
"Lieb, Reddy and Raynsford, Linda",,,"-122.4596396,37.7243765",Glass,Six Degrees,"2825 Diamond St
"
"Lin, Maya",,,"-122.4661846,37.7699161",,What's Missing,
"Lin, Maya",,,"-122.4835193,37.76904",Marine grade stainless steel,Where the Land Meets the Sea,
"Liu, Hung",,,"-122.389979,37.615223",oil and pigmented ink with gesso,Take Off,
"Liu, Hung",Purchased by the San Francisco Art Commission for the Moscone Center,"10.125"" W X 30"" (sheet)","-122.3940873,37.7816901","Mixed media: oil on canvas, acrylic on wall, glazed ceramic tiles",Map No. 33,
Living Lenses (Po Shu Wang & Loui,,,"-122.4556651,37.7478586",Redwood,NEVERODDOREVEN,
"Loarca, Carlos",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,72,"-122.389979,37.615223",Acrylic on board,Angulos en Todas Direciones,
"Loarca, Carlos",Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,96 in. x 120 in.,"-122.4044431,37.7557795",Mosaic-tile mural,Connecting Mural Bands,
"Loarca, Carlos",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"72""H X 48"" W","-122.389979,37.615223",Acrylic on board,Angulos en Todas Direciones,
"Ludwig, Helen",Gift of the artist to the San Francisco Art Commission,,"-122.4044431,37.7557795",Oil,Untitled,
"Ludwig, Helen",Commissioned by the San Francisco Arts Commission for the Department of Public Health.,,"-122.4185344,37.7782753",Terrazzo paving,One Step at a Time,
"MacDonald, Robert",,,"-122.4184094,37.7793133",,Willie L Brown Bust,
Mandel and Sultan,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,19 1/2' H X 19 1/2' W,"-122.389979,37.615223",Mosaic tile,Waiting,
"Mangrum, Joe",Commissioned by the Public Art Program for MUNI,636 in. x 60 in.,"-122.4187616,37.7554415",Glass,Layla,"Mission St
"
"Mangrum, Joe",Commissioned by the Public Art Program for MUNI,,"-122.4187616,37.7554415",Glass,Swing Daddy,"Mission St
"
"Manwaring, Michael",Commissioned by the San Francisco Art Commission for the North and South Embarcadero Project,,"-122.3943387,37.7976769",Bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,Historic Signage Project,
"Margrill, Anita and Nagasawa, Nobuho","Collection of the City and County of San Francisco
Commissioned for the San Francisco Municipal Transportation Authority by the San Franciso Arts Commission",432 in. x 228 in.,"-122.4194155,37.7749295",Laminated glass,Blueprints,
"Marie-Rose, Henri",Purchased by the San Francisco Art Commission for the Central Police Station and North Beach Garage,144 in.,"-122.482221,37.7595959",Copper and Bronze,Sailor and Mermaid,"DPW : Health Center : Irving
"
"Marie-Rose, Henri",Purchased by the San Francisco Art Commission for Firehouse #13,4' X 5',"-122.4194155,37.7749295",Copper,Untitled,
"Marini, Marino",Purchased through a project of the Redevelopment Agency for the Golden Gateway Plaza ,,"-122.4194155,37.7749295",Bronze,Bronze Horse,
Mark/Charlie Evans/Brown,,,"-122.415783,37.778864",Oil,Into the Light,
"Marsh, Thomas",Gift of the Goddess of Democracy Project,Sculpture: 10' H ; Base: 5',"-122.4048688,37.7947175",Bronze,Goddess of Democracy,
"Martin, Fran",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"87"" H X 18 1/4"" W X 14 1/2"" D","-122.389979,37.615223","Concrete, marble, copper and brass with patina",Petanque et St-Savin IV,
"Martin, Fran",Purchased by the San Francisco Art Commission for the Griffith Pump Station.,139 in. x 90 in. x 24 in.,"-122.3819341,37.7250945","Steel, reinforced concrete, bronze and granite",Ndebele,"1601 Griffith St
"
"Martin, Vance",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.389979,37.615223",Enamel spray paint,Untitled,
"Martinez, Julian","Gift to San Francisco from Luis Encina, the Governor of the State of Sonora, Mexico 1967.",88 in. x 142 in. x 70 in.,"-122.4194155,37.7749295",Bronze ,Juan Bautista de Anza,
"McDonnell, Mark",Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,,"-122.4194155,37.7749295",glass,Glass Rondella,
"McDonnell, Mark",Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,"30"" diameter","-122.2063083,37.4178457",glass,Glass Rondella,
"McQuarrie, J.",Gift of Bay Area Spanish-American War veterans and American Legion posts.,8' H,"-122.4835193,37.76904",Bronze,Father William D. McKinnon ( -1902),
METAL,Gift of the International Longshoremen's & Warehousemen's Union Memorial,15 X 20 X 9 ' overall of three panels,"-122.3916551,37.7919942",painted welded steel,International Longshoremen's & Warehousemen's Union Memorial (ILWU),
"Montoya, Emmanuel C.",Commissioned by the Public Art Program for the Mission Library,,"-122.415783,37.778864",linocut print; Prisma color,"Deities of Knowledge, Culture and Literature",
"Moore, Henry",Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"-122.4194155,37.7749295",Bronze,Standing Figure Knife Edged- Winged Figure,
"Moore, Henry",Gift of Earl and Helli Rouda to the San Francisco Art Commission.,"6 1/2"" H X 4' W X 13 1/2"" D","-122.4222548,37.790378",Bronze,Large Four Piece Reclining Figure,
"Mora, Joseph Jacinto",Gift of E.J. Molora and C.J. Cobrian to the City of San Francisco.,,"-122.4666711,37.7703537",Bronze,Miguel Cervantes (1547-1616),
"Moxom, Jack",,4'H,"-122.4194155,37.7749295",Sandstone,Sarah B. Cooper Memorial,
"Moya Del Pino, Jose",,,"-122.4194155,37.7749295",fresco secco,Murals for Acme Beer Company,"African American Art
"
"Moya Del Pino, Jose",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Oil,"San Francisco Bay, North",
"Mullican, Lee",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"75"" H X 75"" W","-122.389979,37.615223",Acrylic on canvas,The Great Transparents,
"Murrill, Gwyn",Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"-122.5049211,37.7336173",Cast bronze,Tiger II,
"Murrill, Gwyn",Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"-122.5049211,37.7336173",Cast bronze sculpture,Cougar III,
"Murrill, Gwynn","Collection of the City and County of San Francisco
Purchased for the San Francisco Zoo by the San Francisco Arts Commission",80 1/2 in. x 13 in. x 18 in.,"-122.4194155,37.7749295",Bronze and limestone,Hawk V,
"Neri, Manuel",Purchased by the San Francisco Art Commission for the Moscone Center,"8 1/2"" H X 18"" W X 6""D","-122.433021,37.801262",Marble and ink ,Untitled Proposal,
"Neri, Manuel",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"69 3/4"" H X 22 3/4"" W X 10 1/2"" D","-122.389979,37.615223",Marble,Mujer Pagada No.4,
"Newman, Ruby",Commissioned for SFGH by the city,"51""H X 126"" W","-122.4044431,37.7557795",Acrylic on wood panel,Children's Mural,
"Noguchi, Isamu",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"61"" H X 21 1/2"" W X 15 1/4"" D","-122.389979,37.615223",Cast bronze with black patina,Figure,
"Novak, Stephen",Purchased for the John C. Woods Motor Coach Center,,"-122.4194155,37.7749295",Wood,Untitled,
"O'banion, Nance",Purchased by the San Francisco Art Commission for the San Francisco International Airport,12' H X 15' W,"-122.389979,37.615223","Abaca paper, acrylic medium, bamboo, waxed cotton and wire",Billboard Series: Exploded Transverse with no Nuggies,
"O'Day, Ruth",Collection of the City and County of San Francisco,overall: 1' X 86',"-122.4194155,37.7749295",Mosaic tile,Guardian Serpent,
"Olaguibel, Juan",Gift of the Mexican Colony to the City of San Francisco,"sculpture: 12' X 4' X 3' base: 7' '9 1/2"" X 9' 6"" X 9' 6""","-122.4282213,37.7596965",bronze sculpture on black granite veneer base,Miguel Hidalgo Y Costilla,"Dolores Park : Church St
"
"Oldfield, Otis",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Oil,San Francisco Bay,
"Oldfield, Otis",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Oil,Seabirds and Bay Area Map,
"Olmsted, Frederick Law",Commissioned by the San Francisco Art Commission for San Francisco City College,6 ' H on 7 ' base,"-122.451725,37.7277894",Tuff stone,Leonardo da Vinci,
"Olmsted, Frederick Law Jr.",Commissioned by the San Francisco Art Commission for San Francisco City College,6' H on 7 ' base,"-122.451725,37.7277894",tuff stone,Edison,
"Olmsted, Jr., Frederick Law",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Power,
"Olmsted, Jr., Frederick Law",Work Progress Adminstration,,"-122.451725,37.7277894",Fresco,Education (Theory and Science),
"Oropallo, Deborah",,,"-122.4184094,37.7793133",,Love + Marriage,
"Overhoff, Jacques",Commissioned by the San Francisco Art Commission for the Department of Social Services,,"-122.4194155,37.7749295",Bronze,Untitled,
"Overhoff, Jacques",Purchased by the San Francisco Art Commission for the Anna E. Waden Branch Library.,14' X 24',"-122.3896884,37.7321019",Bas-relief--clay,Untitled,"1601 Lane St
"
"Overhoff, Jacques",Commissioned by the San Francisco Art Commission for City College,,"-122.4508478,37.72568589999999",Cement,Sculpture Garden,
"Ozan, Pepe",Commissioned by the San Francisco Arts Commission,,"-122.4194155,37.7749295","steel rod and perforated metal galvinized, w/Aero plate, bronzing powder",Invocation,
"Paitigan, Haig",Gift of James D. Phelan,2' H statue on a 5' H granite shaft,"-122.4184094,37.7793133",Bronze,Edward Robeson Taylor (1838-1923),
"Paley, Albert",Commissioned for Art Enrichment of the District Courthouse,"104"" H X 40"" W X 10 1/2"" D each","-122.41883,37.780382","Stainless Steel, glass",Courthouse Entry Doors,
"Parhad, Fred",Presented to the City of San Francisco by the Assyrian Foundation for the Arts.,"Sculpture: 126"" H X 48"" W X 30"" D Base: 59"" H X 60"" W X 36"" D","-122.4194155,37.7749295",Bronze,Ashurbanipal,
"Patigian, Haig",Commissioned and placed in 1910 by the San Francisco Board of Supervisors.,"18""H X 36""W","-122.4034248,37.7876664",Bronze,Luisa Tetrazzini (1874-1940) Plaque,
"Patigian, Haig",Gift of Mrs. Lillie Hitchcock Coit.,10' H,"-122.1569535,37.7324503",Bronze,Volunteer Fireman Memorial,
"Patigian, Haig",Commissioned for the Weill Monument,"22"" in diameter","-122.5019123,37.7836073",Bronze,Raphael Weill (1837-1920) Plaque,
"Patigian, Haig",Purchased by the San Francisco Art Commission for City Hall,,"-122.4184094,37.7793133",Bronze,James D. Phelan (1861-1930),
"Patigian, Haig",Gift of Dr. Morris Hertzstein,8' H,"-122.4666711,37.7703537",Bronze,General John J. Pershing (1860-1948),
"Patigian, Haig",Gift of Major Edward Bowos.,10' H X 7' W X 5' D,"-122.4391137,37.8066235",Marble and bronze,William C. Ralston (1826-1875) Monument,
"Patigian, Haig",Funds raised by popular subscription,,"-122.4184094,37.7793133",Bronze,Abraham Lincoln (1809-1865),
"Patigian, Haig",Purchased by the San Francisco Art Commission for City Hall.,,"-122.4184094,37.7793133",Bronze,"James Rolph, Jr. (1869-1934)",
"Patigian, Haig",Presented to the city of San Francisco by the school children.,,"-122.4184094,37.7793133",Bronze,Frederick Funston (1865-1917),
"Patlan, Eduardo and Pineda, Ray",Commissioned for art enrichment of Jose Coronado Playground Recreation Center,varies,"-122.4236112,37.7567494",Glazed terracotta tile,Raizes/Roots,"Folsom
"
"Paunov, Zlatko",Gift of Gandhi Memorial Foundation International,Sculpture: 8' H X 3 1/2' W X 4' D; Base: 3' H X 4' W X 4' D,"-122.3916833,37.795664",Bronze,Mohandas K. Gandhi,
"Perry, Charles O.",Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"-122.4194155,37.7749295",Bronze,Bronze Icosahedron,
"Perry, R. Hinton",Gift of Shreve & Co.,"48""","-122.4666711,37.7703537",Bronze,Lion,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Land,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Sea,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,6' X 11',"-122.467485,37.771673",Oil on canvas,Night,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,6' X 11',"-122.467646,37.771503",Oil on canvas,The Mountains,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Land,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,6' X 11',"-122.467646,37.771503",Oil on canvas,The Forests,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Sea,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Sea,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Sea,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Land,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Sea,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Land,
"Piazzoni, Gottardo Fidele Ponziano",Purchased for the San Francisco Main Library,,"-122.467646,37.771503",Oil,The Land,
"Pijoan, Irene",,72 in. x 72 in.,"-122.4059601,37.7770166",stainless steel,Untitled,
Po Shu Wang,Commissioned by the Public Art Program for Firestation #37,,"-122.398967,37.7574923",bronze and copper,Scaling Harmonics,"788 Wisconsin St
"
Po Shu Wang,,,"-122.4194155,37.7749295",Stainless steel and mirroed lenses,Ghinlon/Transcope,
"Poethig, Johanna",Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,Lobby Floor: Gameboard,"-122.4194155,37.7749295",Glaze on ceramic tiles,Epic; Prediction; Gameboard; and H20,
"Poethig, Johanna",Purchased by the San Francisco Art Commission for the Father Lafred Boeddecker Recreation Center,11' H X 41' W,"-122.4194155,37.7749295",Hand-cut and painted ceramic tile,Flying Dragon-Snake-Monkey-Bird,
"Polk, James",Commissioned by the San Francisco Art Commission for the Parking Garage and 16th and Hoff Streets.,9' H X 13' W; 9' X 16'; 9' X 16',"-122.4194155,37.7749295",Iron,Untitled,
"Pomodoro, Arnaldo",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"192"" H X 18""diameter","-122.389979,37.615223",cast bronze,Cilindro Costruito,
"Porter, Bruce",Gift of a committee of citizens aided by James D. Phelan in 1897 for Portsmouth Square.,9' H,"-122.4048688,37.7947175",Granite,Robert Louis Stevenson (1850-1894) Memorial,
"Potts, Don",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133",Basswood with Plexiglas windows,Hallidie Building,
"Potts, Don",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133",Mahogany and basswood,Pylon of the Golden Gate Bridge,
"Potts, Don",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133",Maplewood and basswood,City Hall Dome,
"Potts, Don",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"-122.4184094,37.7793133",Maplewood,"San Francisco Victorian, Italianate Style",
"Powell, Eric",Collection of the City and County of San Francisco. Commissioned for the Ingleside Branch Library by the San Francisco Arts Commission.,48 in. x 336 in.,"-122.4194155,37.7749295",Steel,Ocean Current,
Precitia Eyes muralists,Collection of the City and County of San Francisco,overall: 5' X 65'; floWer section: 5' X 12'; tree section: 5' X 8'; midsection:,"-122.420664,37.770841",Solid-color unglazed and hand-painted ceramic tile,The Flower Inside Us Grows,
"Preston, Anne",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"19' di X 14' 5 D dome; 16' di floor; 612' 2"" sections tile 42 1/2"" L X 30.9"" H","-122.389979,37.615223",Cast fiberglass,You Were in Heaven,
"Preston, Anne",Commissioned as art enrichment for the district courthouse,"444""L floor X 444"" W; 60"" W X 72"" L panels;28"" H X 64"" W X 64"" W bench","-122.41883,37.780382","Zinc, terrazzo and marble, cast glass and bronze",Family Court Waiting Area,
"Puccienlli, Raymond",Located on Lombard Street at Telegraph Hill Road.,,"-122.412311,37.8029189",Bronze,Guglielmo Marconi (1874-1937) Memorial Plaque,
"Puccinelli, Raimondo(Raymond)",Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"-122.4044431,37.7557795",Grey stone (porterville diorite),American Bison--Buffalo,
"Putnam, Arthur",Private Commission,5'H X 10' L,"-122.4666711,37.7703537",Cast concrete,Sphinx,
"Putnam, Arthur",Commissioned by the Downtown Association,,"-122.4204734,37.7741056",Cast iron bas reliefs,The Winning of the West,
"Qizhan, Zhu",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"16' H X 6' 2"" W Framed","-122.4163842,37.7802635",Ink and watercolor on paper on silk mounting,Grapevine,
"Quagliata, Narcissus",Bayview Health Center,,"-122.4194155,37.7749295",Stained glass,Untitled,
"Quagliata, Narcissus",Commissioned by the SFAC for the SF Downtown Parking Assoc and Dept of Parking ,40 panels/ 8 per floor measuring 3 1/2 X 3 1/3 X 28' W,"-122.4047824,37.7835988","sandblasted, fused and cast glass",Oracle,
"Quagliata, Narcissus",Commissioned by the San Francisco Art Commission for the North Shore Pump Station,8' X 22',"-122.4054085,37.7975529",Stained glass,Untitled,
"Quilici, Gladys Nevada",?,"24"" H","-122.4194155,37.7749295",Bronze,Frank Marini (1862-1952),
"Ramirez, Robert",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,,"-122.389979,37.615223",Mixed media,Urns,
Rebar Group,,,"-122.4037946,37.7112195","Recycled parking meter heads, steel and automotive paint",Street Life,"Leland Ave
"
"Reed, Michael John",,"28"" H X 28"" W X 16"" D","-122.4184094,37.7793133",Bronze,Mayor George Christopher,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347",Oil ,The Golden Fruit,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347",Oil,Ideals in Art,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347",Oil,The Golden Grain,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347",Oil,The Birth of European Art,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347",Oil,The Golden Metal,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347",Oil ,The Golden Poppy,
"Reid, Robert",Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347",Oil,Oriental Art,
"Reinerston, Lisa",Gift of Richard Blum to the city and county of San Francisco,"Bust: 29"" H X 28"" W X 18"" D; Base: 48"" H X 20"" W X 19 7/8"" D","-122.4184094,37.7793133",Bronze; Marble base,Bust of Dianne Feinstein,
"Reinertson, Lisa","San Francisco Art Commission/ Gift from Union Labor AFL-CIO (December 11, 1992)","Base: 54"" H X 20"" W X 24"" D Figure: 28"" H X 29"" W X 24"" D","-122.4184094,37.7793133",Bronze,John F. Shelley,
"Reitschel, Ernst",Gift of a committee of Lauchhammer (Prussian Saxony) citizens with funds for German residents of SF,8' H,"-122.4666711,37.7703537",Bronze on pedestal of red Missouri granite,Goethe and Schiller,
"Renfrow, Gregg",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"96"" H X 138"" W","-122.389979,37.615223","Acrylic polymer, pigment and fibermesh",Untitled,
"Richards, Peter",Commissioned by the San Francisco Art Commission for San Francisco General Hospital,420 in. x 1080 in.,"-122.4044431,37.7557795","Plant material, soil, granite, crushed lava rock","Companion Place, a Complement to the Comfort Garden",
"Richards, Peter and Schwartzenberg, Susan",,,"-122.4195296,37.7176346",Granite,Philosopher's Walk,
"Rickey, George Warren",Gift of Dr. Carl Djerassi to San Francisco Public Library,"Dimensions of the letter ""L"" 18' H X 7' 3"" W","-122.4194155,37.7749295",Stainless steel,Double L Eccentric Gyratory,
rigo 99,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"-122.389979,37.615223",Hand cut ceramic tile,Thinking of Balmy Alley,
"Riley, Cheryl",Commissioned for art enrichment of the 911 Emergency Center,"7' H X 63 'L overall; concrete tiles 12"" X 12""; resin tiles 4"" X 4"".","-122.4194155,37.7749295","Cast concrete, GFRC tile and resin, mixed media, found objects.",Angels of Mercy,
